NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,CountJunctions_y,WardArea_y,JunctionRatio_y
Knight's Hill,E05000424,147.166,0,E09000022,Lambeth,117361,215,1471654,0.000146094
Thornton,E05000433,107.759,0,E09000022,Lambeth,117357,141,1077579,0.000130848
Streatham Hill,E05000430,127.063,0,E09000022,Lambeth,117358,137,1270630,0.00010782
Clapham Common,E05000418,133.854,0,E09000022,Lambeth,51276,143,1338555,0.000106831
Brixton Hill,E05000417,113.124,0,E09000022,Lambeth,117363,168,1131232,0.00014851
Tulse Hill,E05000435,103.195,0,E09000022,Lambeth,117359,134,1031948,0.000129851
Coldharbour,E05000420,120.806,0,E09000022,Lambeth,117364,164,1208061,0.000135754
Ferndale,E05000421,85.073,0,E09000022,Lambeth,50790,100,850733,0.000117545
Larkhall,E05000425,106.124,0,E09000022,Lambeth,50793,130,1061257,0.000122496
Oval,E05000426,127.764,3.586,E09000022,Lambeth,117366,149,1277647,0.00011662
Vassall,E05000436,112.973,0,E09000022,Lambeth,51224,145,1129711,0.000128351
Gipsy Hill,E05000422,157.067,0,E09000022,Lambeth,51228,177,1570645,0.000112692
Thurlow Park,E05000434,151.482,0,E09000022,Lambeth,117362,178,1514819,0.000117505
Herne Hill,E05000423,203.038,0,E09000022,Lambeth,117360,171,2030393,0.00008422
Bishop's,E05000416,153.959,30.258,E09000022,Lambeth,51177,173,1539607,0.000112366
Clapham Town,E05000419,111.893,0,E09000022,Lambeth,50816,168,1118927,0.000150143
Stockwell,E05000429,86.678,0,E09000022,Lambeth,117365,122,866762,0.000140753
Prince's,E05000427,116.363,10.083,E09000022,Lambeth,51181,160,1163595,0.000137504
College,E05000538,323.324,0,E09000028,Southwark,51229,196,3233254,0.00006062
Riverside,E05000548,132.822,28.574,E09000028,Southwark,51236,165,1328199,0.000124228
Village,E05000554,278.745,0,E09000028,Southwark,117345,166,2787415,0.000059553
South Camberwell,E05000551,133.149,0,E09000028,Southwark,117350,160,1331489,0.000120166
East Dulwich,E05000539,102.069,0,E09000028,Southwark,51269,104,1020691,0.000101891
Peckham Rye,E05000547,225.242,0,E09000028,Southwark,117346,148,2252415,0.000065707
Camberwell Green,E05000535,97.461,0,E09000028,Southwark,117353,128,974639,0.00013133
Brunswick Park,E05000534,93.441,0,E09000028,Southwark,51222,120,934391,0.000128425
The Lane,E05000553,138.888,0,E09000028,Southwark,117351,179,1388895,0.000128879
Nunhead,E05000545,132.84,0,E09000028,Southwark,117352,111,1328405,0.000083558
Peckham,E05000546,86.966,0,E09000028,Southwark,51170,123,869658,0.000141434
