NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Grange,E05000542,121.45300,0.00000,E09000028,Southwark,117354,10
Rotherhithe,E05000549,149.05000,12.96800,E09000028,Southwark,117355,5
Surrey Docks,E05000552,190.06200,45.01300,E09000028,Southwark,50733,1
Chaucer,E05000537,81.97700,0.00000,E09000028,Southwark,50814,6
Bellingham,E05000437,308.47100,0.00000,E09000023,Lewisham,117089,9
Telegraph Hill,E05000453,154.63100,0.00000,E09000023,Lewisham,117094,7
Downham,E05000442,238.17800,0.00000,E09000023,Lewisham,117085,11
Whitefoot,E05000454,223.00400,0.00000,E09000023,Lewisham,117086,2
Blackheath,E05000438,231.82300,0.00000,E09000023,Lewisham,117096,8
Sydenham,E05000452,174.37200,0.00000,E09000023,Lewisham,117087,13
Forest Hill,E05000444,182.78500,0.00000,E09000023,Lewisham,51164,5
Perry Vale,E05000450,168.45000,0.00000,E09000023,Lewisham,117088,7
Rushey Green,E05000451,178.52400,0.00000,E09000023,Lewisham,117090,29
Catford South,E05000440,186.65500,0.00000,E09000023,Lewisham,117091,7
Crofton Park,E05000441,171.96200,0.00000,E09000023,Lewisham,117100,10
Ladywell,E05000446,160.59800,0.00000,E09000023,Lewisham,117092,7
Lewisham Central,E05000448,206.20300,0.00000,E09000023,Lewisham,117093,17
Brockley,E05000439,168.18300,0.00000,E09000023,Lewisham,117095,28
New Cross,E05000449,181.11400,1.40700,E09000023,Lewisham,117097,7
Grove Park,E05000445,239.29100,0.00000,E09000023,Lewisham,117098,5
Lee Green,E05000447,179.84200,0.00000,E09000023,Lewisham,117099,9
Evelyn,E05000443,177.62000,15.38800,E09000023,Lewisham,117101,11
Middle Park and Sutcliffe,E05000224,329.14300,0.00000,E09000011,Greenwich,117371,4
Coldharbour and New Eltham,E05000217,254.93500,0.00000,E09000011,Greenwich,117370,3
Eltham South,E05000219,462.64100,0.00000,E09000011,Greenwich,117367,5
Shooters Hill,E05000227,377.07200,0.00000,E09000011,Greenwich,117368,6
Peninsula,E05000225,449.19400,107.25400,E09000011,Greenwich,117376,15
Woolwich Riverside,E05000230,326.10900,72.31700,E09000011,Greenwich,117378,13
Greenwich West,E05000222,279.23400,26.43100,E09000011,Greenwich,117369,17
Eltham West,E05000220,242.56400,0.00000,E09000011,Greenwich,117382,5
Blackheath Westcombe,E05000215,213.81500,0.00000,E09000011,Greenwich,117373,2
Kidbrooke with Hornfair,E05000223,237.45400,0.00000,E09000011,Greenwich,117374,6
Eltham North,E05000218,255.51200,0.00000,E09000011,Greenwich,117372,3
