NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Clapham Common,E05000418,133.85400,0.00000,E09000022,Lambeth,51276,11
Brixton Hill,E05000417,113.12400,0.00000,E09000022,Lambeth,117363,18
Tulse Hill,E05000435,103.19500,0.00000,E09000022,Lambeth,117359,12
Coldharbour,E05000420,120.80600,0.00000,E09000022,Lambeth,117364,10
Ferndale,E05000421,85.07300,0.00000,E09000022,Lambeth,50790,14
Larkhall,E05000425,106.12400,0.00000,E09000022,Lambeth,50793,5
Oval,E05000426,127.76400,3.58600,E09000022,Lambeth,117366,23
Vassall,E05000436,112.97300,0.00000,E09000022,Lambeth,51224,9
Gipsy Hill,E05000422,157.06700,0.00000,E09000022,Lambeth,51228,4
Thurlow Park,E05000434,151.48200,0.00000,E09000022,Lambeth,117362,9
Herne Hill,E05000423,203.03800,0.00000,E09000022,Lambeth,117360,10
Bishop's,E05000416,153.95900,30.25800,E09000022,Lambeth,51177,12
Clapham Town,E05000419,111.89300,0.00000,E09000022,Lambeth,50816,10
Stockwell,E05000429,86.67800,0.00000,E09000022,Lambeth,117365,10
Prince's,E05000427,116.36300,10.08300,E09000022,Lambeth,51181,6
College,E05000538,323.32400,0.00000,E09000028,Southwark,51229,2
Riverside,E05000548,132.82200,28.57400,E09000028,Southwark,51236,2
Village,E05000554,278.74500,0.00000,E09000028,Southwark,117345,4
South Camberwell,E05000551,133.14900,0.00000,E09000028,Southwark,117350,0
East Dulwich,E05000539,102.06900,0.00000,E09000028,Southwark,51269,3
Peckham Rye,E05000547,225.24200,0.00000,E09000028,Southwark,117346,3
Camberwell Green,E05000535,97.46100,0.00000,E09000028,Southwark,117353,16
Brunswick Park,E05000534,93.44100,0.00000,E09000028,Southwark,51222,1
The Lane,E05000553,138.88800,0.00000,E09000028,Southwark,117351,19
Nunhead,E05000545,132.84000,0.00000,E09000028,Southwark,117352,4
Peckham,E05000546,86.96600,0.00000,E09000028,Southwark,51170,1
Newington,E05000544,83.35800,0.00000,E09000028,Southwark,51180,6
Faraday,E05000541,87.81500,0.00000,E09000028,Southwark,51169,3
East Walworth,E05000540,114.66200,0.00000,E09000028,Southwark,117348,15
Livesey,E05000543,143.83200,0.00000,E09000028,Southwark,117347,12
South Bermondsey,E05000550,97.36300,0.00000,E09000028,Southwark,51172,2
Cathedrals,E05000536,176.82200,18.58400,E09000028,Southwark,117349,11
Grange,E05000542,121.45300,0.00000,E09000028,Southwark,117354,5
Rotherhithe,E05000549,149.05000,12.96800,E09000028,Southwark,117355,3
Surrey Docks,E05000552,190.06200,45.01300,E09000028,Southwark,50733,0
Chaucer,E05000537,81.97700,0.00000,E09000028,Southwark,50814,4
Bellingham,E05000437,308.47100,0.00000,E09000023,Lewisham,117089,10
Telegraph Hill,E05000453,154.63100,0.00000,E09000023,Lewisham,117094,9
Downham,E05000442,238.17800,0.00000,E09000023,Lewisham,117085,10
Whitefoot,E05000454,223.00400,0.00000,E09000023,Lewisham,117086,8
Blackheath,E05000438,231.82300,0.00000,E09000023,Lewisham,117096,10
Sydenham,E05000452,174.37200,0.00000,E09000023,Lewisham,117087,3
Forest Hill,E05000444,182.78500,0.00000,E09000023,Lewisham,51164,4
Perry Vale,E05000450,168.45000,0.00000,E09000023,Lewisham,117088,2
Rushey Green,E05000451,178.52400,0.00000,E09000023,Lewisham,117090,14
Catford South,E05000440,186.65500,0.00000,E09000023,Lewisham,117091,1
Crofton Park,E05000441,171.96200,0.00000,E09000023,Lewisham,117100,0
Ladywell,E05000446,160.59800,0.00000,E09000023,Lewisham,117092,7
Lewisham Central,E05000448,206.20300,0.00000,E09000023,Lewisham,117093,25
Brockley,E05000439,168.18300,0.00000,E09000023,Lewisham,117095,16
New Cross,E05000449,181.11400,1.40700,E09000023,Lewisham,117097,4
Grove Park,E05000445,239.29100,0.00000,E09000023,Lewisham,117098,8
Lee Green,E05000447,179.84200,0.00000,E09000023,Lewisham,117099,12
Evelyn,E05000443,177.62000,15.38800,E09000023,Lewisham,117101,12
Middle Park and Sutcliffe,E05000224,329.14300,0.00000,E09000011,Greenwich,117371,8
Coldharbour and New Eltham,E05000217,254.93500,0.00000,E09000011,Greenwich,117370,4
Eltham South,E05000219,462.64100,0.00000,E09000011,Greenwich,117367,9
Shooters Hill,E05000227,377.07200,0.00000,E09000011,Greenwich,117368,4
Peninsula,E05000225,449.19400,107.25400,E09000011,Greenwich,117376,16
Woolwich Riverside,E05000230,326.10900,72.31700,E09000011,Greenwich,117378,9
Greenwich West,E05000222,279.23400,26.43100,E09000011,Greenwich,117369,11
Eltham West,E05000220,242.56400,0.00000,E09000011,Greenwich,117382,11
Blackheath Westcombe,E05000215,213.81500,0.00000,E09000011,Greenwich,117373,5
Kidbrooke with Hornfair,E05000223,237.45400,0.00000,E09000011,Greenwich,117374,5
Eltham North,E05000218,255.51200,0.00000,E09000011,Greenwich,117372,2
Charlton,E05000216,203.12000,0.00000,E09000011,Greenwich,117377,3
Woolwich Common,E05000229,262.03500,0.00000,E09000011,Greenwich,117375,11
Plumstead,E05000226,234.18900,0.00000,E09000011,Greenwich,117380,16
Glyndon,E05000221,170.19600,15.42000,E09000011,Greenwich,117379,5
Thamesmead Moorings,E05000228,481.25600,89.36200,E09000011,Greenwich,50872,9
Abbey Wood,E05000214,265.72100,0.00000,E09000011,Greenwich,117381,5
Longlands,E05000078,259.72300,0.00000,E09000004,Bexley,117119,2
Blackfen and Lamorbey,E05000066,168.55800,0.00000,E09000004,Bexley,117121,2
Cray Meadows,E05000072,719.03100,0.00000,E09000004,Bexley,117118,6
Sidcup,E05000083,270.34700,0.00000,E09000004,Bexley,117120,5
St. Mary's,E05000081,442.85300,0.00000,E09000004,Bexley,50888,7
Crayford,E05000071,397.22900,0.45100,E09000004,Bexley,117126,3
North End,E05000079,568.00100,122.84100,E09000004,Bexley,50918,1
Erith,E05000075,475.33300,131.16600,E09000004,Bexley,117129,7
Belvedere,E05000065,317.54900,30.44100,E09000004,Bexley,117130,3
Thamesmead East,E05000084,483.36900,85.72100,E09000004,Bexley,50862,4
Falconwood and Welling,E05000076,167.02600,0.00000,E09000004,Bexley,117122,4
East Wickham,E05000074,217.31300,0.00000,E09000004,Bexley,50877,4
Blendon and Penhill,E05000067,209.79000,0.00000,E09000004,Bexley,50890,12
Danson Park,E05000073,271.32400,0.00000,E09000004,Bexley,117123,4
Christchurch,E05000069,255.20700,0.00000,E09000004,Bexley,117124,23
St. Michael's,E05000082,144.81400,0.00000,E09000004,Bexley,50864,0
Brampton,E05000068,196.74600,0.00000,E09000004,Bexley,50883,4
Northumberland Heath,E05000080,175.28200,0.00000,E09000004,Bexley,117127,3
Barnehurst,E05000064,287.74000,0.00000,E09000004,Bexley,117125,5
Colyers,E05000070,164.39300,0.00000,E09000004,Bexley,117128,3
Lesnes Abbey,E05000077,237.01900,0.00000,E09000004,Bexley,117117,1
Chase,E05000195,1693.54100,0.00000,E09000010,Enfield,117071,24
Winchmore Hill,E05000213,276.07000,0.00000,E09000010,Enfield,117075,4
Cockfosters,E05000196,1041.27900,0.00000,E09000010,Enfield,117065,8
Highlands,E05000202,508.80300,0.00000,E09000010,Enfield,117068,2
Upper Edmonton,E05000212,264.24000,0.00000,E09000010,Enfield,117069,16
Palmers Green,E05000205,194.21200,0.00000,E09000010,Enfield,117074,16
Edmonton Green,E05000197,312.64200,0.00000,E09000010,Enfield,117076,26
Lower Edmonton,E05000204,218.24800,0.00000,E09000010,Enfield,117077,14
Grange,E05000200,328.51600,0.00000,E09000010,Enfield,117067,10
Jubilee,E05000203,392.83300,0.00000,E09000010,Enfield,117078,6
Ponders End,E05000206,354.29600,0.00000,E09000010,Enfield,117081,20
Enfield Highway,E05000198,463.65300,0.00000,E09000010,Enfield,117082,7
Bowes,E05000193,148.33700,0.00000,E09000010,Enfield,117073,25
Southgate Green,E05000209,261.35100,0.00000,E09000010,Enfield,117072,18
Southgate,E05000208,268.72700,0.00000,E09000010,Enfield,117066,10
Haselbury,E05000201,179.60200,0.00000,E09000010,Enfield,117084,6
Bush Hill Park,E05000194,252.44900,0.00000,E09000010,Enfield,117070,8
Town,E05000210,223.14000,0.00000,E09000010,Enfield,117080,7
Southbury,E05000207,286.70400,0.00000,E09000010,Enfield,117079,29
Turkey Street,E05000211,226.15000,0.00000,E09000010,Enfield,117083,5
Enfield Lock,E05000199,325.23100,0.00000,E09000010,Enfield,50605,6
